,OBJECTID,Region,Division,ID,School,Municipali,Legislativ,Total_Enro,Total_Inst,Color_Code,Barangay,Province,District,Type_of_Sc,Rooms_used,Rooms_unused
17,18,NCR,Manila,136418,A. C. Herrera ES,TONDO,2nd,906,13,Red,197,"MANILA, NCR, FIRST DISTRICT",Tondo I,School with no Annexes,11.0,0.0
18,19,NCR,Manila,136442,R. Almario ES - Isla Puting Bato ES,TONDO,1st,586,7,Red,Purok 4,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),7.0,0.0
19,20,NCR,Manila,222001,R. Almario ES - Parola Annex,TONDO,1st,600,6,Red,MICT Compound,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),6.0,0.0
20,21,NCR,Manila,136475,Silahis ng Katarungan Special School,PACO,5th,462,9,Gold,681,"MANILA, NCR, FIRST DISTRICT",Paco II,School with no Annexes,5.0,0.0
21,22,NCR,Manila,136466,V. E. Fugoso Memorial School,SAMPALOC,4th,924,27,Blue,Parang,"MANILA, NCR, FIRST DISTRICT",Sampaloc V,School with no Annexes,20.0,4.0
22,23,NCR,Marikina City,136681,Fortune ES,CITY OF MARIKINA,2nd,3712,35,Red,Fortune,NCR SECOND DISTRICT,Marikina City District II,School with no Annexes,35.0,0.0
23,24,NCR,Marikina City,136673,Kalumpang ES,CITY OF MARIKINA,1st,1264,43,Blue,Kalumpang,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,29.0,11.0
24,25,NCR,Marikina City,136678,San Roque ES,CITY OF MARIKINA,1st,1550,43,Blue,San Roque,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,30.0,0.0
25,26,NCR,Marikina City,136687,Sto. Nino ES,CITY OF MARIKINA,1st,3308,48,Red,Sto. Niño,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,41.0,0.0
26,27,NCR,Muntinlupa City,136912,Cupang ES,CITY OF MUNTINLUPA,Lone,2944,36,Red,Cupang,NCR FOURTH DISTRICT,Muntinlupa City District II,Mother school,33.0,0.0
27,28,NCR,Muntinlupa City,228501,Itaas Elementary School NBP Annex,CITY OF MUNTINLUPA,Lone,5245,48,Red,Poblacion,NCR FOURTH DISTRICT,Muntinlupa City District I,Annex or Extension school(s),49.0,0.0
28,29,NCR,Muntinlupa City,136907,Victoria Homes ES,CITY OF MUNTINLUPA,Lone,1550,24,Red,Tunasan,NCR FOURTH DISTRICT,Muntinlupa City District I,School with no Annexes,28.0,0.0
29,30,NCR,Navotas,136863,North Bay Boulevard North Elementary School,CITY OF NAVOTAS,Lone,2100,18,Red,North Bay Blvd. North,NCR THIRD DISTRICT,Navotas District I,School with no Annexes,18.0,0.0
30,31,NCR,Paranaque City,226001,Sun Valley ES,CITY OF PARAÃAQUE,2nd,2945,24,Red,Sun Valley,NCR FOURTH DISTRICT,Paranaque City District II,School with no Annexes,24.0,0.0
31,32,NCR,Pasig City,225501,Maybunga Elementary School Annex,CITY OF PASIG,Lone,1124,18,Red,Maybunga,NCR SECOND DISTRICT,Pasig City District V,Annex or Extension school(s),18.0,0.0
32,33,NCR,Quezon City,222503,"Benigno S. Aquino, Jr. Elementary School",QUEZON CITY,1st,4383,35,Red,,NCR SECOND DISTRICT,School District XI,School with no Annexes,34.0,0.0
33,34,NCR,Quezon City,136522,Leopoldo B. Santos ES,QUEZON CITY,2nd,650,9,Red,Baesa,NCR SECOND DISTRICT,School District VIII,School with no Annexes,9.0,0.0
34,35,NCR,Quezon City,136547,Payatas A ES,QUEZON CITY,2nd,6175,62,Red,Payatas A,NCR SECOND DISTRICT,School District XI,School with no Annexes,61.0,0.0
35,36,NCR,Quezon City,136548,Payatas B ES,QUEZON CITY,2nd,4714,20,Red,Payatas,NCR SECOND DISTRICT,School District XI,Mother school,20.0,0.0
36,37,NCR,Quezon City,136550,Payatas C ES,QUEZON CITY,2nd,2851,24,Red,Payatas,NCR SECOND DISTRICT,School District XI,School with no Annexes,15.0,4.0
37,38,NCR,Taguig,136881,Bagong Tanyag Elementary School - Annex A,TAGUIG CITY,2nd,1329,2,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),2.0,0.0
38,39,NCR,Taguig,136882,Bagong Tanyag ES - Annex B,TAGUIG CITY,2nd,1394,9,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),9.0,0.0
39,40,NCR,Taguig,136894,Capt. H. Francisco ES Annex,PATEROS,1st,442,6,Red,STA. ANA,NCR FOURTH DISTRICT,Pateros,Annex or Extension school(s),6.0,0.0
40,41,NCR,Taguig,136878,Tipas Elementary School - Annex,TAGUIG CITY,1st,1296,10,Red,CALZADA,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),8.0,0.0
41,42,NCR,Valenzuela City,227003,Punturin I ES,CITY OF VALENZUELA,1st,1061,10,Red,Punturin,NCR THIRD DISTRICT,Valenzuela City Central District,Mother school,10.0,0.0
42,43,NCR,Valenzuela City,227002,Santiago A. de Guzman ES (Gen. T. de Leon ES- Tanada Annex),CITY OF VALENZUELA,2nd,1204,21,Red,Gen. T. de Leon,NCR THIRD DISTRICT,Valenzuela City East District,Annex or Extension school(s),18.0,0.0
43,44,NCR,Caloocan City,319709,Bagumbong High School Annex,KALOOKAN CITY,1st,696,12,Red,Barangay 171,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),11.0,0.0
44,45,NCR,Caloocan City,319708,AHS-HORACIO DELA COSTA ANNEX,KALOOKAN CITY,,647,6,Red,Barangay 179,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),14.0,0.0
45,46,NCR,Caloocan City,319707,Urduja Business High School,KALOOKAN CITY,1st,1011,13,Red,Barangay 172,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),School with no Annexes,14.0,0.0
46,47,NCR,Las PiÃ±as City,320302,CAA NHS Annex,CITY OF LAS PIÃAS,Lone,3015,25,Red,CAA / BF Int'l Village,NCR FOURTH DISTRICT,Las PiÃ±as City I,Annex or Extension school(s),23.0,0.0
47,48,NCR,Las PiÃ±as City,305431,Civil Aeronautics Administration (CAA) NHS,CITY OF LAS PIÃAS,Lone,3380,18,Red,B.F. International Village,NCR FOURTH DISTRICT,Las PiÃ±as City I,Mother school,20.0,0.0
48,49,NCR,Las PiÃ±as City,320303,Las Pinas NHS - Gatchalian Annex,CITY OF LAS PIÃAS,Lone,954,5,Red,Manuyo Dos,NCR FOURTH DISTRICT,Las PiÃ±as City I,Annex or Extension school(s),7.0,0.0
49,50,NCR,Las PiÃ±as City,320304,Las Pinas Science HS,CITY OF LAS PIÃAS,Lone,274,9,Blue,Talon Dos,NCR FOURTH DISTRICT,Las PiÃ±as City II,School with no Annexes,12.0,0.0
50,51,NCR,Las PiÃ±as City,320305,T. S. Cruz High School,CITY OF LAS PIÃAS,Lone,1859,0,Black,,NCR FOURTH DISTRICT,Las PiÃ±as City II,School with no Annexes,17.0,0.0
51,52,NCR,Makati City,320003,Fort Bonifacio HS - Tibagan HS Annex,CITY OF MAKATI,2nd,1311,9,Red,Tibagan,NCR FOURTH DISTRICT,Makati City District II,Annex or Extension school(s),16.0,0.0
52,53,NCR,Malabon City,320505,Catmon IS,CITY OF MALABON,Lone,422,0,Black,Catmon,NCR THIRD DISTRICT,Malabon District V,School with no Annexes,6.0,0.0
53,54,NCR,Malabon City,320506,Col. Ramon Camus IS,CITY OF MALABON,Lone,312,0,Black,San Agustin,NCR THIRD DISTRICT,Malabon District III,School with no Annexes,4.0,2.0
54,55,NCR,Malabon City,305447,Malabon NHS,CITY OF MALABON,Lone,5454,54,Red,Hulong Duhat,NCR THIRD DISTRICT,Malabon District I,Mother school,50.0,0.0
55,56,NCR,Malabon City,320502,Malabon NHS - Concepcion Voc-Tech Annex,CITY OF MALABON,Lone,573,10,Red,Concepcion,NCR THIRD DISTRICT,Malabon District III,Annex or Extension school(s),7.0,0.0
56,57,NCR,Malabon City,320507,Tanong IS,CITY OF MALABON,Lone,356,0,Black,Tañong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,6.0,0.0
57,58,NCR,Malabon City,305448,Tanong NHS,CITY OF MALABON,Lone,1213,8,Red,Tañong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,7.0,0.0
58,59,NCR,Malabon City,305452,Tinajeros NHS,CITY OF MALABON,Lone,3194,29,Red,Tinajeros,NCR THIRD DISTRICT,Malabon District IV,Mother school,30.0,1.0
59,60,NCR,Malabon City,320504,Tinajeros NHS - Acacia Annex,CITY OF MALABON,Lone,1244,9,Red,Acacia,NCR THIRD DISTRICT,Malabon District V,Annex or Extension school(s),4.0,0.0
60,61,NCR,Mandaluyong City,319803,Eulogio Rodriguez Integ. Sch.,CITY OF MANDALUYONG,Lone,1777,17,Red,Hagdang Bato,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,32.0,0.0
61,62,NCR,Mandaluyong City,319805,Ilaya Barangka Integrated School,CITY OF MANDALUYONG,Lone,351,3,Red,Barangka Ilaya,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,10.0,0.0
62,63,NCR,Mandaluyong City,319804,Jose Fabella Memorial School,CITY OF MANDALUYONG,Lone,676,25,Blue,,NCR SECOND DISTRICT,Mandaluyong City District I,School with no Annexes,11.0,0.0
63,64,NCR,Manila,305308,Valeriano E. Fugoso Memorial HS,SAMPALOC,4th,592,27,Blue,Parang,"MANILA, NCR, FIRST DISTRICT",Tondo I,School with no Annexes,17.0,0.0
64,65,NCR,Marikina City,319903,Barangka NHS,CITY OF MARIKINA,1st,514,0,Black,Barangka,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,0.0,0.0
65,66,NCR,Marikina City,319902,Fortune HS,CITY OF MARIKINA,2nd,2276,33,Red,Fortune,NCR SECOND DISTRICT,Marikina City District II,School with no Annexes,29.0,0.0
66,67,NCR,Marikina City,319904,Kalumpang National High School,CITY OF MARIKINA,1st,466,0,Black,Kalumpang,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,0.0,0.0
67,68,NCR,Marikina City,319905,San Roque NHS,CITY OF MARIKINA,1st,524,0,Black,San Roque,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,0.0,0.0
68,69,NCR,Marikina City,319906,Sto. Nino National High School,CITY OF MARIKINA,Lone,863,4,Red,Sto. Niño,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,4.0,0.0
69,70,NCR,Muntinlupa City,320702,Muntinlupa Business High School - Sucat Annex,CITY OF MUNTINLUPA,Lone,665,7,Red,Sucat,NCR FOURTH DISTRICT,Muntinlupa City District II,Annex or Extension school(s),12.0,0.0
70,71,NCR,Muntinlupa City,320701,Muntinlupa National HS - NBP Annex,CITY OF MUNTINLUPA,Lone,2613,13,Red,Poblacion,NCR FOURTH DISTRICT,Muntinlupa City District I,Annex or Extension school(s),25.0,0.0
71,72,NCR,Paranaque City,320204,Sun Valley NHS,CITY OF PARAÃAQUE,2nd,1711,33,Gold,Sun Valley,NCR FOURTH DISTRICT,Paranaque City District I,School with no Annexes,28.0,0.0
72,73,NCR,Pasay City,305364,Pasay City North HS - Tramo Campus,PASAY CITY,Lone,1358,28,Yellow,Brgy. 57,NCR FOURTH DISTRICT,Pasay City North District,Annex or Extension school(s),23.0,0.0
73,74,NCR,Quezon City,305320,Balingasa HS,QUEZON CITY,1st,1078,27,Blue,Balingasa,NCR SECOND DISTRICT,School District I,School with no Annexes,22.0,0.0
74,75,NCR,Quezon City,319505,"Judge Feliciano Belmonte, Sr. HS",QUEZON CITY,2nd,4006,24,Red,Holy Spirit,NCR SECOND DISTRICT,School District XI,School with no Annexes,29.0,0.0
75,76,NCR,Taguig,320607,Agripino Manalo National HS (Simplicio Manalo NHS),PATEROS,1st,406,0,Black,,NCR FOURTH DISTRICT,Pateros,School with no Annexes,0.0,2.0
76,77,NCR,Taguig,305462,"Gen. Ricardo G. Papa, Sr. Memorial HS Annex",TAGUIG CITY,1st,1562,14,Red,USUSAN,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),25.0,0.0
77,78,NCR,Taguig,320606,Pres. Diosdado Macapagal HS - Signal VNHS Annex,TAGUIG CITY,2nd,2318,27,Red,BRGY KATUPARAN,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),24.0,0.0
78,79,NCR,Taguig,320601,Taguig Science HS,TAGUIG CITY,1st,780,5,Red,HAGONOY,NCR FOURTH DISTRICT,Taguig District I,School with no Annexes,6.0,0.0
79,80,NCR,Valenzuela City,320406,Canumay East NHS,CITY OF VALENZUELA,1st,738,9,Red,Canumay East,NCR THIRD DISTRICT,Valenzuela City Central District,School with no Annexes,12.0,0.0
80,81,NCR,Valenzuela City,320408,DALANDANAN NHS- Bagbaguin Annex,CITY OF VALENZUELA,1st,639,0,Black,,NCR THIRD DISTRICT,Valenzuela City Central District,Annex or Extension school(s),9.0,0.0
81,82,NCR,Valenzuela City,305443,Gen. T. del Leon NHS,CITY OF VALENZUELA,2nd,5532,55,Red,Gen. T. de Leon,NCR THIRD DISTRICT,Valenzuela City Central District,School with no Annexes,50.0,2.0
82,83,NCR,Valenzuela City,320407,Valenzuela NHS-Wawang Pulo Annex,CITY OF VALENZUELA,1st,423,4,Red,Wawangpulo,NCR THIRD DISTRICT,Valenzuela City Central District,Annex or Extension school(s),11.0,0.0
83,84,Region XI,Compostela Valley,128507,C.M. Recto ES,NABUNTURAN (Capital),2nd,268,5,Gold,Magsaysay,COMPOSTELA VALLEY,Nabunturan West,School with no Annexes,7.0,0.0
84,85,Region XI,Compostela Valley,128466,Linoan ES,MONTEVISTA,1st,427,14,Blue,Linoan,COMPOSTELA VALLEY,Montevista,School with no Annexes,12.0,4.0
85,86,Region XI,Compostela Valley,304202,Montevista NHS,MONTEVISTA,1st,1368,26,Gold,San Jose,COMPOSTELA VALLEY,Montevista,School with no Annexes,25.0,0.0
86,87,Region XI,Compostela Valley,128471,Montevista CES,MONTEVISTA,1st,1503,37,Blue,San Jose,COMPOSTELA VALLEY,Montevista,School with no Annexes,35.0,0.0
87,88,Region XI,Compostela Valley,128474,New Visayas ES,MONTEVISTA,1st,460,9,Gold,New Visayas,COMPOSTELA VALLEY,Montevista,School with no Annexes,9.0,0.0
88,89,Region XI,Compostela Valley,128272,Osmena ES,COMPOSTELA,1st,614,9,Red,Osmeña,COMPOSTELA VALLEY,Compostela,School with no Annexes,13.0,0.0
89,90,Region XI,Compostela Valley,128511,Bantacan ES,NEW BATAAN,1st,460,17,Blue,Bantacan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,15.0,1.0
90,91,Region XI,Compostela Valley,304177,Bantacan NHS,NEW BATAAN,1st,425,12,Blue,Bantacan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,9.0,0.0
91,92,Region XI,Compostela Valley,128528,San Roque ES,NEW BATAAN,1st,160,8,Blue,San Roque,COMPOSTELA VALLEY,New Bataan,School with no Annexes,5.0,0.0
92,93,Region XI,Compostela Valley,315814,Andap NHS,NEW BATAAN,1st,264,5,Gold,Andap,COMPOSTELA VALLEY,New Bataan,School with no Annexes,6.0,0.0
93,94,Region XI,Compostela Valley,128510,Andap ES,NEW BATAAN,1st,441,13,Blue,Andap,COMPOSTELA VALLEY,New Bataan,School with no Annexes,0.0,0.0
94,95,Region XI,Compostela Valley,304206,New Bataan NHS,NEW BATAAN,1st,1218,28,Blue,Cabinuangan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,21.0,0.0
95,96,Region XI,Compostela Valley,128514,Cabinuangan CES,NEW BATAAN,1st,1735,49,Blue,Cabinuangan,COMPOSTELA VALLEY,New Bataan,School with no Annexes,41.0,7.0
96,97,Region XI,Compostela Valley,128267,Mangayon ES,COMPOSTELA,1st,571,12,Yellow,Mangayon,COMPOSTELA VALLEY,Compostela,School with no Annexes,2.0,0.0
97,98,Region XI,Compostela Valley,304182,Mangayon NHS,COMPOSTELA,1st,337,6,Red,Mangayon,COMPOSTELA VALLEY,Compostela,School with no Annexes,5.0,0.0
98,99,Region XI,Compostela Valley,128265,Lagab ES,COMPOSTELA,1st,268,6,Blue,Lagab,COMPOSTELA VALLEY,Compostela,School with no Annexes,8.0,0.0
99,100,Region XI,Panabo City,129784,Panabo CES,CITY OF PANABO,2nd,1888,39,Yellow,San Francisco,DAVAO DEL NORTE,Panabo Central,School with no Annexes,34.0,0.0
100,101,Region XI,Panabo City,129785,Rizal ES,CITY OF PANABO,2nd,3341,55,Red,San Francisco,DAVAO DEL NORTE,Panabo Central,School with no Annexes,52.0,0.0
101,102,Region XI,Panabo City,129783,Gredu ES,CITY OF PANABO,2nd,1471,26,Red,Gredu,DAVAO DEL NORTE,Panabo Central,School with no Annexes,25.0,0.0
102,103,Region XI,Davao Oriental,205504,Rabat-Rocamora Mati Central SPED Sch.,CITY OF MATI (Capital),2nd,756,18,Blue,Central,DAVAO ORIENTAL,Mati Central,School with no Annexes,18.0,0.0
103,104,CARAGA,Butuan City,304756,Agusan NHS,BUTUAN CITY (Capital),1st,9037,96,Red,DIEGO SILANG,AGUSAN DEL NORTE,Central Butuan District I,School with no Annexes,73.0,0.0
104,105,Region X,Lanao del Norte,126975,Bagong Dawis ES,BAROY,1st,205,9,Blue,Bag-ong Dawis,LANAO DEL NORTE,Baroy,School with no Annexes,6.0,1.0
105,106,Region X,Lanao del Norte,127002,Balili Central ES,KAPATAGAN,2nd,626,13,Yellow,Balili,LANAO DEL NORTE,Kapatagan West,School with no Annexes,13.0,0.0
106,107,Region X,Lanao del Norte,127003,Bansarvil ES,KAPATAGAN,2nd,308,8,Blue,Bansarvil,LANAO DEL NORTE,Kapatagan West,School with no Annexes,7.0,0.0
107,108,NCR,Marikina City,136671,Barangka ES,CITY OF MARIKINA,1st,1932,35,Gold,Barangka,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,20.0,6.0
108,109,Region VI,Iloilo,116358,Cabasi-Sta. Rosa ES,GUIMBAL,1st,524,15,Blue,SANTA ROSA-LAGUNA,ILOILO,Guimbal,School with no Annexes,13.0,0.0
109,110,Region X,Lanao del Norte,127004,Carusa ES,KAPATAGAN,2nd,181,5,Blue,Pulang Yuta,LANAO DEL NORTE,Kapatagan West,School with no Annexes,4.0,0.0
110,111,Region IV-A,Laguna,108217,Dela Paz Main ES,CITY OF BIÃAN,1st,2273,45,Yellow,DELA PAZ,LAGUNA,BiÃ±an,School with no Annexes,40.0,0.0
111,112,Region IV-A,Laguna,108218,Dela Paz West ES,CITY OF BIÃAN,1st,1247,22,Red,DELA PAZ,LAGUNA,BiÃ±an,School with no Annexes,25.0,0.0
112,113,Region X,Lanao del Norte,127007,Kahayagan PS,KAPATAGAN,2nd,122,1,Red,Kahayagan,LANAO DEL NORTE,Kapatagan West,School with no Annexes,1.0,0.0
113,114,Region X,Lanao del Norte,127073,Lala Proper ES,LALA,2nd,719,23,Blue,Lala Proper,LANAO DEL NORTE,Lala North,School with no Annexes,18.0,10.0
114,115,Region X,Lanao del Norte,127008,La Libertad ES,KAPATAGAN,2nd,156,3,Gold,La Libertad,LANAO DEL NORTE,Kapatagan West,School with no Annexes,3.0,0.0
115,116,Region IV-A,Laguna,108219,Dr. M. Z. Batista MES,CITY OF BIÃAN,1st,1147,18,Red,SAN JOSE,LAGUNA,BiÃ±an,School with no Annexes,20.0,0.0
116,117,Region XI,Davao Oriental,129225,San Luis ES,CARAGA,1st,324,9,Blue,San Luis,DAVAO ORIENTAL,Caraga North,School with no Annexes,9.0,0.0
117,118,Region XI,Davao Oriental,304339,Tarragona NHS,TARRAGONA,1st,909,13,Red,Central,DAVAO ORIENTAL,Tarragona,Mother school,13.0,0.0
118,119,Region XI,Davao Oriental,304306,Calapagan NHS,LUPON,2nd,259,8,Blue,Calapagan,DAVAO ORIENTAL,Lupon East,Mother school,7.0,0.0
119,120,Region XI,Compostela Valley,128553,P. Fuentes ES,PANTUKAN,2nd,186,7,Blue,Fuentes,COMPOSTELA VALLEY,Pantukan,School with no Annexes,6.0,0.0
120,121,Region XI,Compostela Valley,128556,Piasusuan ES,PANTUKAN,2nd,68,3,Blue,Napnapan,COMPOSTELA VALLEY,Pantukan,School with no Annexes,2.0,1.0
121,122,Region XI,Davao Oriental,129389,BGR Executive ES,CITY OF MATI (Capital),2nd,457,12,Blue,Dahican,DAVAO ORIENTAL,Mati North,School with no Annexes,12.0,0.0
122,123,Region XI,Compostela Valley,128546,Las Arenas ES,PANTUKAN,2nd,183,6,Blue,Las Arenas,COMPOSTELA VALLEY,Pantukan,School with no Annexes,6.0,0.0
123,124,Region XI,Davao Oriental,304328,Davao Oriental Regional Science High School,CITY OF MATI (Capital),2nd,324,9,Blue,Dahican,DAVAO ORIENTAL,Mati North,School with no Annexes,11.0,0.0
124,125,Region XI,Davao Oriental,129382,Mayor Luisito G. Rabat Memorial School,CITY OF MATI (Capital),2nd,1899,41,Yellow,Central,DAVAO ORIENTAL,Mati Central,School with no Annexes,44.0,0.0
125,126,Region XI,Davao Oriental,205504,Rabat-Rocamora Mati Central SPED Sch.,CITY OF MATI (Capital),2nd,756,18,Blue,Central,DAVAO ORIENTAL,Mati Central,School with no Annexes,18.0,0.0
126,127,Region XI,Davao Oriental,129377,BLISS ES,CITY OF MATI (Capital),2nd,540,14,Blue,Sainz,DAVAO ORIENTAL,Mati Central,School with no Annexes,13.0,0.0
127,128,Region XI,Compostela Valley,128396,Paloc ES,MARAGUSAN (SAN MARIANO),1st,318,11,Blue,Paloc,COMPOSTELA VALLEY,Maragusan,School with no Annexes,8.0,1.0
128,129,Region XI,Compostela Valley,128393,New Manay ES,MARAGUSAN (SAN MARIANO),1st,111,7,Blue,New Manay,COMPOSTELA VALLEY,Maragusan,School with no Annexes,5.0,2.0
129,130,Region XI,Davao Oriental,129383,Mayor Santiago Garcia Memorial School,CITY OF MATI (Capital),2nd,1080,31,Blue,Central,DAVAO ORIENTAL,Mati Central,School with no Annexes,28.0,2.0
130,131,Region XI,Davao Oriental,129407,Tamisan ES,CITY OF MATI (Capital),2nd,309,10,Blue,Tamisan,DAVAO ORIENTAL,Mati North,School with no Annexes,7.0,0.0
131,132,Region XI,Davao Oriental,316105,Paniquian NHS,BANAYBANAY,2nd,262,6,Blue,Paniquian,DAVAO ORIENTAL,Banaybanay,School with no Annexes,6.0,0.0
132,133,Region XI,Davao Oriental,129425,Batobato CES,SAN ISIDRO,2nd,1196,32,Blue,Batobato,DAVAO ORIENTAL,San Isidro North,School with no Annexes,26.0,5.0
133,134,Region XI,Compostela Valley,128543,Gumayan ES,PANTUKAN,2nd,217,4,Gold,Kingking,COMPOSTELA VALLEY,Pantukan,School with no Annexes,4.0,0.0
134,135,Region XI,Compostela Valley,128564,Tugop ES,PANTUKAN,2nd,229,5,Blue,Kingking,COMPOSTELA VALLEY,Pantukan,School with no Annexes,6.0,0.0
135,136,Region XI,Compostela Valley,128532,Araibo ES,PANTUKAN,2nd,395,9,Blue,Araibo,COMPOSTELA VALLEY,Pantukan,School with no Annexes,11.0,0.0
136,137,Region XI,Davao Oriental,304321,Lupon NCHS (Lupon Voc'l. HS - Annex B),LUPON,2nd,862,13,Red,Ilangay,DAVAO ORIENTAL,Lupon West,School with no Annexes,15.0,0.0
137,138,Region XI,Davao Oriental,316106,Don Mariano Marcos NHS,LUPON,2nd,251,4,Red,Don Mariano Marcos,DAVAO ORIENTAL,Lupon East,School with no Annexes,3.0,0.0
138,139,Region XI,Davao Oriental,129286,Sigaboy CES,GOVERNOR GENEROSO,2nd,951,20,Yellow,Poblacion,DAVAO ORIENTAL,Gov. Generoso North,School with no Annexes,21.0,0.0
139,140,Region XI,Island Garden City of Samal,128602,Cogon ES,ISLAND GARDEN CITY OF SAMAL,2nd,540,11,Yellow,Cogon,DAVAO DEL NORTE,Babak,School with no Annexes,12.0,0.0
140,141,Region XI,Island Garden City of Samal,128692,Linosotan ES,ISLAND GARDEN CITY OF SAMAL,2nd,161,5,Blue,Linosotan,DAVAO DEL NORTE,Kaputian,School with no Annexes,5.0,0.0
141,142,Region XI,Compostela Valley,304192,Mabini NHS,MABINI (DOÃA ALICIA),2nd,973,21,Yellow,Cuambog,COMPOSTELA VALLEY,Mabini,School with no Annexes,18.0,0.0
